Category,Template,Target VM,Maturity,Ports,Image,Description,One-click guidance,Tags
AI & Automation,AnythingLLM,VM103,ready,3002,mintplexlabs/anythingllm:latest,Private RAG and AI workspace.,,"ai, rag, llm"
AI & Automation,BabelDuck,VM103,external,3007,placeholder/manual,AI language/productivity tool placeholder; verify upstream image before use.,,"ai, productivity, language"
AI & Automation,Dify,VM103,review,8088,langgenius/dify-api:latest,LLM app platform. Full production stack requires multiple services.,,"ai, rag, workflow"
AI & Automation,Hermes Agent,VM103,review,9120,ghcr.io/nousresearch/hermes-agent:latest,Hermes Agent. Verify official image and compose before production use.,,"ai, agent"
AI & Automation,Open WebUI,VM103,ready,3001,ghcr.io/open-webui/open-webui:main,Web UI for Ollama and OpenAI-compatible APIs.,,"ai, llm, webui"
AI & Automation,OpenClaw,VM103,review,9123,openclaw/openclaw:latest,AI agent platform. High privilege; review official docs before deploy.,,"ai, agent, high-privilege"
AI & Automation,n8n,VM103,ready,5678,n8nio/n8n:latest,Workflow automation.,,"automation, workflow, ai"
AI Inference,LM Studio,Mac/VM103,external,1234,placeholder/manual,LM Studio is usually desktop-native; template is an external service placeholder.,,"ai, llm, external"
AI Inference,SGLang,VM103,review,30000,lmsysorg/sglang:latest,High-performance LLM serving runtime. GPU recommended.,,"ai, llm, inference, gpu"
AI Inference,llama.cpp Server,VM103,starter,8085,ghcr.io/ggml-org/llama.cpp:server,llama.cpp HTTP server. CPU/GPU variants may differ.,,"ai, llm, inference"
AI Inference,vLLM,VM103,review,8000,vllm/vllm-openai:latest,High-throughput OpenAI-compatible LLM inference server. GPU recommended.,,"ai, llm, inference, gpu"
Business & Finance,Actual Budget,VM104,ready,5006,actualbudget/actual-server:latest,Self-hosted personal budgeting app.,,"finance, budget"
Business & Finance,Ghostfolio,VM104,review,3333,ghostfolio/ghostfolio:latest,Personal finance dashboard. Requires database/Redis for production.,,"finance, portfolio"
Business & Finance,Odoo,VM104,ready,8069,odoo:latest,Business apps / ERP. Includes Postgres service.,,"business, erp"
Business & Finance,Wallos,VM104,ready,8282,bellamy/wallos:latest,Subscription and recurring expense tracker.,,"finance, subscriptions"
Dashboard,Homarr,VM101,ready,7575,ghcr.io/homarr-labs/homarr:latest,Dashboard for homelab services.,,"dashboard, homelab"
Dashboard,Homepage,VM101,ready,3000,ghcr.io/gethomepage/homepage:latest,Highly customizable application dashboard.,,"dashboard, homepage"
Developer Tools,Brave Browser,VM104,ready,3006,lscr.io/linuxserver/brave:latest,Brave browser in container.,,"browser, remote"
Developer Tools,Chrome Browser,VM104,ready,3005,lscr.io/linuxserver/chromium:latest,Browser in container. Chromium image used as Chrome-compatible option.,,"browser, remote"
Developer Tools,Code Server,VM104,ready,8444,lscr.io/linuxserver/code-server:latest,VS Code in browser.,,"dev, ide"
Developer Tools,IT-Tools,VM101/VM104,ready,8089,corentinth/it-tools:latest,Useful developer and sysadmin web tools.,,"tools, developer"
Developer Tools,redroid,VM104,review,5555,redroid/redroid:latest,Android in Docker. Requires privileged/kernel binder support.,,"android, emulator, high-privilege"
Developer Tools / DevOps,GitLab CE,VM104,review,8929 2224,gitlab/gitlab-ce:latest,Full-featured self-hosted GitLab Community Edition.,Heavy. Recommend dedicated VM with at least 4C/8G RAM. Review before deployment.,"git, devops, ci, scm"
Developer Tools / DevOps,Gitea Server,VM104/VM101,ready,3000 2222,gitea/gitea:latest,Lightweight self-hosted Git server. Best first choice for homelab Git.,Good one-click candidate. Set ROOT_URL and SSH port before production.,"git, devops, scm"
Developer Tools / DevOps,Gogs,VM104,ready,3000 2222,gogs/gogs:latest,Very lightweight self-hosted Git service.,"Good one-click candidate. Lighter than Gitea, smaller ecosystem.","git, devops, scm"
Download & ARR,Aria2 Pro,VM102,ready,6800,p3terx/aria2-pro:latest,Aria2 downloader with RPC support.,,"download, aria2"
Download & ARR,AriaNg,VM102,ready,6880,p3terx/ariang:latest,Web UI for Aria2.,,"download, aria2, ui"
Download & ARR,Bazarr,VM102,ready,6767,lscr.io/linuxserver/bazarr:latest,Subtitle management for Sonarr/Radarr.,,"arr, subtitles, media"
Download & ARR,Jellyseerr,VM102,ready,5055,fallenbagel/jellyseerr:latest,"Media request portal for Jellyfin, Sonarr, and Radarr.","Good one-click candidate; connect to Jellyfin, Sonarr, and Radarr after deployment.","jellyfin, requests, arr, media"
Download & ARR,MeTube,VM102,ready,8084,ghcr.io/alexta69/metube:latest,Web UI for yt-dlp video downloads.,,"youtube, download, yt-dlp"
Download & ARR,MoviePilot v2,VM102,review,3000,jxxghp/moviepilot-v2:latest,Chinese media automation ecosystem. Needs careful env setup.,,"arr, media, automation"
Download & ARR,Overseerr,VM102,ready,5056,lscr.io/linuxserver/overseerr:latest,Media request portal commonly used with Plex/Radarr/Sonarr; can still fit broader ARR workflows.,Good one-click candidate; best with Plex but useful as request-portal reference.,"requests, arr, media"
Download & ARR,Pinchflat,VM102,ready,8945,ghcr.io/kieraneglin/pinchflat:latest,YouTube channel/playlist downloader designed for media-server integration.,,"youtube, download, media"
